"id","year","quarter","state_name","num_blocks_surveyed","households","males_age_0_4_years","females_age_0_4_years","persons_age_0_4_years","males_age_5_14_years","females_age_5_14_years","persons_age_5_14_years","males_age_15_29_years","females_age_15_29_years","persons_age_15_29_years","males_age_15_59_years","females_age_15_59_years","persons_age_15_59_years","males_age_15_above_years","females_age_15_above_years","persons_age_15_above_years","males_all_ages","females_all_ages","persons_all_ages","state_code"
475,"2018","October-December","Punjab",208.0,1631.0,241.0,205.0,446.0,565.0,508.0,1073.0,988.0,854.0,1842.0,2308.0,2154.0,4465.0,2649.0,2513.0,5165.0,3455.0,3226.0,6684.0,"03"
476,"2018","October-December","Rajasthan",216.0,1668.0,283.0,287.0,570.0,754.0,603.0,1357.0,1292.0,1098.0,2390.0,2713.0,2500.0,5213.0,3041.0,2841.0,5882.0,4078.0,3731.0,7809.0,"08"
477,"2018","October-December","Tamil Nadu",439.0,3462.0,351.0,336.0,687.0,786.0,692.0,1478.0,1509.0,1504.0,3013.0,3925.0,4097.0,8022.0,4650.0,4866.0,9516.0,5787.0,5894.0,11681.0,"33"
478,"2018","October-December","Telangana",200.0,1588.0,154.0,158.0,312.0,445.0,356.0,801.0,821.0,797.0,1618.0,1985.0,1939.0,3924.0,2245.0,2205.0,4450.0,2844.0,2719.0,5563.0,"36"
479,"2018","October-December","Uttarakhand",96.0,750.0,113.0,110.0,223.0,306.0,272.0,578.0,526.0,413.0,939.0,1111.0,990.0,2101.0,1218.0,1124.0,2342.0,1637.0,1506.0,3143.0,"05"
480,"2018","October-December","Uttar Pradesh",407.0,3204.0,630.0,539.0,1169.0,1451.0,1230.0,2681.0,2372.0,2188.0,4560.0,4948.0,4746.0,9695.0,5554.0,5297.0,10852.0,7635.0,7066.0,14702.0,"09"
481,"2018","October-December","West Bengal",375.0,2967.0,306.0,300.0,607.0,669.0,626.0,1295.0,1598.0,1569.0,3167.0,3994.0,4013.0,8007.0,4698.0,4709.0,9407.0,5673.0,5635.0,11309.0,"19"
482,"2018","October-December","All-India",5743.0,44963.0,6032.0,5487.0,11521.0,14368.0,12746.0,27115.0,25751.0,24148.0,49912.0,60874.0,59863.0,120759.0,70003.0,69304.0,139330.0,90403.0,87537.0,177966.0,"99"
483,"2023","October-December","Andhra Pradesh",222.0,1751.0,161.0,138.0,299.0,392.0,384.0,776.0,781.0,722.0,1503.0,1949.0,2101.0,4050.0,2281.0,2439.0,4720.0,2834.0,2961.0,5795.0,"28"
484,"2023","October-December","Assam",112.0,889.0,94.0,83.0,177.0,249.0,189.0,438.0,393.0,392.0,785.0,1129.0,1118.0,2247.0,1314.0,1311.0,2625.0,1657.0,1583.0,3240.0,"18"
485,"2023","October-December","Bihar",168.0,1335.0,364.0,266.0,630.0,570.0,559.0,1129.0,917.0,776.0,1693.0,2013.0,1837.0,3850.0,2241.0,2049.0,4290.0,3175.0,2874.0,6049.0,"10"
